segments,segments
0,5
1,423
2,359
3,12
4,3
5,307
6,298
7,2
8,4
9,438
10,428
11,8
12,8
13,226
14,427
15,1
16,517
17,395
18,608
19,10
20,82
22,6
23,87
24,614
25,382
27,1
28,87
29,509
30,130
32,386
33,16
34,6
35,38
36,145
37,1
38,547
39,484
