segments,segments
1,2
3,1
5,5
6,16
9,7
10,16
12,3
13,10
14,32
16,2241
17,556
18,318
19,9
20,1
24,387
25,2
27,1
28,15
29,2035
33,3
35,1
38,270
39,69
