segments,segments
0,11
1,173
2,180
3,109
4,54
5,188
6,194
7,53
8,36
9,311
10,317
11,15
12,6
13,153
14,352
15,11
16,261
17,383
18,270
19,71
20,75
22,52
23,104
24,277
25,151
27,7
28,171
29,339
30,103
31,15
32,95
33,169
34,110
35,229
36,82
37,45
38,226
39,344
